REAL_RGB,SIM_RGB
x-0.876_y-1.017_z0.000_r-143_rgb.jpeg,x11.194_y0.047_z0.503_r-112_rgb.jpeg
x-1.024_y-1.145_z0.000_r-132_rgb.jpeg,x11.614_y0.047_z0.374_r-144_rgb.jpeg
x-1.136_y-1.300_z0.000_r-119_rgb.jpeg,x11.854_y0.047_z0.616_r-140_rgb.jpeg
x-1.176_y-1.379_z0.000_r-114_rgb.jpeg,x11.914_y0.047_z0.681_r-135_rgb.jpeg
x-1.234_y-1.556_z0.000_r-102_rgb.jpeg,x12.060_y0.047_z0.798_r-123_rgb.jpeg
x-1.335_y-2.296_z-0.000_r-111_rgb.jpeg,x12.609_y0.047_z0.955_r-88_rgb.jpeg
x-1.394_y-2.416_z-0.000_r-122_rgb.jpeg,x12.743_y0.047_z0.961_r-99_rgb.jpeg
x-1.905_y-2.648_z0.000_r-170_rgb.jpeg,x13.184_y0.047_z1.435_r-167_rgb.jpeg
x-2.170_y-2.697_z-0.000_r-167_rgb.jpeg,x13.241_y0.047_z1.596_r-172_rgb.jpeg
x-2.462_y-2.770_z-0.000_r-165_rgb.jpeg,x13.609_y0.047_z1.983_r-171_rgb.jpeg
x-2.812_y-2.874_z0.000_r-160_rgb.jpeg,x13.503_y0.047_z2.285_r-165_rgb.jpeg
x-3.083_y-2.993_z0.000_r-149_rgb.jpeg,x13.553_y0.047_z2.582_r-160_rgb.jpeg
x-3.258_y-3.125_z-0.000_r-134_rgb.jpeg,x13.558_y0.047_z2.725_r-148_rgb.jpeg
x-3.677_y-3.883_z0.000_r-120_rgb.jpeg,x14.381_y0.047_z3.387_r-114_rgb.jpeg
x-3.897_y-4.273_z-0.000_r-117_rgb.jpeg,x14.793_y0.047_z3.562_r-117_rgb.jpeg
x-3.942_y-4.487_z0.000_r-94_rgb.jpeg,x15.124_y0.047_z3.597_r-118_rgb.jpeg
x-3.942_y-4.551_z0.000_r-85_rgb.jpeg,x15.229_y0.047_z3.641_r-117_rgb.jpeg
x-3.896_y-4.710_z0.000_r-62_rgb.jpeg,x15.496_y0.047_z3.652_r-100_rgb.jpeg
x-3.863_y-4.765_z0.000_r-56_rgb.jpeg,x15.361_y0.047_z3.633_r-99_rgb.jpeg
x-3.770_y-4.873_z0.000_r-51_rgb.jpeg,x15.649_y0.047_z3.624_r-67_rgb.jpeg
x-3.580_y-5.139_z0.000_r-63_rgb.jpeg,x15.682_y0.047_z3.662_r-42_rgb.jpeg
x-3.578_y-5.124_z0.000_r-72_rgb.jpeg,x15.668_y0.047_z3.665_r-49_rgb.jpeg
x-3.580_y-5.120_z0.000_r-80_rgb.jpeg,x15.966_y0.047_z3.483_r-50_rgb.jpeg
x-3.599_y-5.244_z0.000_r-116_rgb.jpeg,x16.073_y0.047_z3.392_r-63_rgb.jpeg
x-3.615_y-5.273_z0.000_r-122_rgb.jpeg,x16.235_y0.047_z3.413_r-119_rgb.jpeg
x-3.608_y-5.265_z0.000_r-130_rgb.jpeg,x16.227_y0.047_z3.406_r-127_rgb.jpeg
x-3.598_y-5.254_z0.000_r-142_rgb.jpeg,x16.215_y0.047_z3.397_r-139_rgb.jpeg
x-3.580_y-5.244_z0.000_r-159_rgb.jpeg,x16.204_y0.047_z3.380_r-156_rgb.jpeg
x-3.553_y-5.240_z0.000_r172_rgb.jpeg,x16.198_y0.047_z3.353_r175_rgb.jpeg
x-3.544_y-5.230_z0.000_r160_rgb.jpeg,x16.188_y0.047_z3.341_r163_rgb.jpeg
x-3.542_y-5.231_z0.000_r155_rgb.jpeg,x16.189_y0.047_z3.339_r158_rgb.jpeg
x-3.543_y-5.229_z0.000_r131_rgb.jpeg,x16.187_y0.047_z3.340_r149_rgb.jpeg
x-3.549_y-5.222_z0.000_r125_rgb.jpeg,x16.182_y0.047_z3.341_r148_rgb.jpeg
x-3.623_y-5.086_z0.000_r117_rgb.jpeg,x16.010_y0.047_z3.399_r125_rgb.jpeg
x-3.813_y-4.713_z0.000_r112_rgb.jpeg,x15.532_y0.047_z3.607_r119_rgb.jpeg
x-3.820_y-4.602_z0.000_r90_rgb.jpeg,x15.429_y0.047_z3.678_r116_rgb.jpeg
x-3.809_y-4.485_z0.000_r82_rgb.jpeg,x15.371_y0.047_z3.546_r107_rgb.jpeg
x-3.704_y-3.981_z0.000_r79_rgb.jpeg,x14.696_y0.047_z3.556_r84_rgb.jpeg
x-3.638_y-3.712_z0.000_r78_rgb.jpeg,x14.422_y0.047_z3.516_r83_rgb.jpeg
x-3.583_y-3.473_z0.000_r81_rgb.jpeg,x14.129_y0.047_z3.478_r83_rgb.jpeg
x-3.578_y-3.409_z0.000_r90_rgb.jpeg,x14.065_y0.047_z3.476_r82_rgb.jpeg
x-3.592_y-3.309_z0.000_r107_rgb.jpeg,x13.865_y0.047_z3.480_r84_rgb.jpeg
x-3.597_y-3.267_z-0.000_r114_rgb.jpeg,x13.824_y0.047_z3.469_r84_rgb.jpeg
x-3.632_y-3.209_z-0.000_r129_rgb.jpeg,x13.661_y0.047_z3.497_r109_rgb.jpeg
x-3.657_y-3.182_z0.000_r137_rgb.jpeg,x13.538_y0.047_z3.557_r110_rgb.jpeg
x-3.729_y-3.133_z-0.000_r156_rgb.jpeg,x13.452_y0.047_z3.670_r127_rgb.jpeg
x-3.870_y-3.104_z-0.000_r-178_rgb.jpeg,x13.339_y0.047_z3.826_r156_rgb.jpeg
x-4.217_y-3.241_z0.000_r-168_rgb.jpeg,x13.960_y0.047_z3.825_r179_rgb.jpeg
x-4.266_y-3.249_z-0.000_r-174_rgb.jpeg,x13.945_y0.047_z3.974_r-166_rgb.jpeg
x-4.490_y-3.275_z-0.000_r176_rgb.jpeg,x14.004_y0.047_z4.013_r-161_rgb.jpeg
x-4.618_y-3.262_z0.000_r170_rgb.jpeg,x14.006_y0.047_z4.196_r-171_rgb.jpeg
x-4.676_y-3.248_z-0.000_r162_rgb.jpeg,x14.012_y0.047_z4.255_r-177_rgb.jpeg
x-4.796_y-3.200_z0.000_r142_rgb.jpeg,x14.035_y0.047_z4.537_r173_rgb.jpeg
x-4.882_y-3.135_z-0.000_r133_rgb.jpeg,x13.980_y0.047_z4.788_r153_rgb.jpeg
x-5.060_y-2.971_z0.000_r141_rgb.jpeg,x14.013_y0.047_z5.454_r132_rgb.jpeg
x-5.430_y-2.794_z0.000_r157_rgb.jpeg,x13.757_y0.047_z5.836_r144_rgb.jpeg
x-5.639_y-2.726_z0.000_r167_rgb.jpeg,x13.631_y0.047_z6.187_r158_rgb.jpeg
x-5.821_y-2.707_z-0.000_r175_rgb.jpeg,x13.502_y0.047_z6.289_r168_rgb.jpeg
x-5.977_y-2.702_z0.000_r-178_rgb.jpeg,x13.479_y0.047_z6.444_r175_rgb.jpeg
x-6.318_y-2.765_z0.000_r-168_rgb.jpeg,x13.503_y0.047_z6.790_r-173_rgb.jpeg
x-6.526_y-2.817_z0.000_r-164_rgb.jpeg,x13.751_y0.047_z7.047_r-167_rgb.jpeg
x-6.936_y-2.982_z0.000_r-160_rgb.jpeg,x13.673_y0.047_z6.785_r-160_rgb.jpeg
x-7.156_y-3.094_z-0.000_r-159_rgb.jpeg,x13.787_y0.047_z7.004_r-159_rgb.jpeg
x-7.393_y-3.186_z-0.000_r-160_rgb.jpeg,x13.852_y0.047_z7.305_r-159_rgb.jpeg
x-7.617_y-3.280_z-0.000_r-167_rgb.jpeg,x14.027_y0.047_z7.603_r-161_rgb.jpeg
x-7.808_y-3.307_z0.000_r-178_rgb.jpeg,x13.985_y0.047_z7.860_r-165_rgb.jpeg
x-7.979_y-3.313_z0.000_r168_rgb.jpeg,x14.037_y0.047_z8.125_r-175_rgb.jpeg
x-8.309_y-3.170_z0.000_r151_rgb.jpeg,x13.989_y0.047_z8.532_r167_rgb.jpeg
x-8.720_y-2.934_z0.000_r153_rgb.jpeg,x13.830_y0.047_z9.080_r146_rgb.jpeg
x-9.148_y-2.843_z0.000_r-178_rgb.jpeg,x13.627_y0.047_z9.432_r159_rgb.jpeg
x-9.283_y-2.859_z0.000_r-169_rgb.jpeg,x13.555_y0.047_z9.500_r164_rgb.jpeg
x-9.512_y-2.957_z0.000_r-152_rgb.jpeg,x13.535_y0.047_z9.549_r-179_rgb.jpeg
x-10.006_y-3.368_z-0.000_r-144_rgb.jpeg,x13.440_y0.047_z9.560_r-135_rgb.jpeg
x-10.206_y-3.494_z-0.000_r-161_rgb.jpeg,x13.621_y0.047_z9.781_r-139_rgb.jpeg
x-10.263_y-3.511_z-0.000_r-166_rgb.jpeg,x13.698_y0.047_z9.797_r-143_rgb.jpeg
x-10.433_y-3.530_z-0.000_r178_rgb.jpeg,x13.897_y0.047_z9.964_r-163_rgb.jpeg
x-10.500_y-3.524_z-0.000_r172_rgb.jpeg,x13.924_y0.047_z10.078_r-164_rgb.jpeg
x-10.835_y-3.448_z0.000_r157_rgb.jpeg,x13.904_y0.047_z10.906_r168_rgb.jpeg
x-11.004_y-3.369_z0.000_r152_rgb.jpeg,x13.730_y0.047_z11.465_r159_rgb.jpeg
x-11.230_y-3.239_z0.000_r149_rgb.jpeg,x13.563_y0.047_z11.436_r152_rgb.jpeg
x-11.768_y-2.966_z0.000_r160_rgb.jpeg,x13.455_y0.047_z11.508_r148_rgb.jpeg
x-12.189_y-2.922_z0.000_r-170_rgb.jpeg,x13.309_y0.047_z12.407_r170_rgb.jpeg
x-12.544_y-3.074_z-0.000_r-148_rgb.jpeg,x13.274_y0.047_z12.601_r-158_rgb.jpeg
x-12.949_y-3.335_z0.000_r-150_rgb.jpeg,x13.733_y0.047_z13.034_r-150_rgb.jpeg
x-13.178_y-3.438_z-0.000_r-163_rgb.jpeg,x13.843_y0.047_z13.292_r-151_rgb.jpeg
x-13.503_y-3.491_z-0.000_r-178_rgb.jpeg,x13.892_y0.047_z13.713_r-172_rgb.jpeg
x-13.724_y-3.495_z0.000_r-179_rgb.jpeg,x13.920_y0.047_z14.033_r177_rgb.jpeg
x-13.949_y-3.498_z0.000_r-179_rgb.jpeg,x13.909_y0.047_z14.257_r176_rgb.jpeg
x-14.098_y-3.498_z-0.000_r178_rgb.jpeg,x13.950_y0.047_z14.360_r175_rgb.jpeg
x-14.233_y-3.486_z0.000_r169_rgb.jpeg,x13.874_y0.047_z14.737_r174_rgb.jpeg
x-14.282_y-3.475_z0.000_r164_rgb.jpeg,x13.893_y0.047_z14.639_r172_rgb.jpeg
x-14.506_y-3.338_z-0.000_r141_rgb.jpeg,x13.868_y0.047_z15.043_r148_rgb.jpeg
x-14.841_y-3.112_z-0.000_r161_rgb.jpeg,x13.433_y0.047_z14.711_r138_rgb.jpeg
x-14.983_y-3.089_z-0.000_r-180_rgb.jpeg,x13.315_y0.047_z14.912_r146_rgb.jpeg
x-15.127_y-3.113_z0.000_r-161_rgb.jpeg,x13.291_y0.047_z15.106_r174_rgb.jpeg
x-15.185_y-3.137_z-0.000_r-153_rgb.jpeg,x13.269_y0.047_z15.418_r174_rgb.jpeg
x-15.336_y-3.270_z0.000_r-138_rgb.jpeg,x13.170_y0.047_z15.260_r-154_rgb.jpeg
x-15.499_y-3.406_z0.000_r-147_rgb.jpeg,x13.487_y0.047_z15.505_r-140_rgb.jpeg
x-15.549_y-3.436_z0.000_r-153_rgb.jpeg,x13.544_y0.047_z15.657_r-138_rgb.jpeg
x-15.618_y-3.465_z-0.000_r-161_rgb.jpeg,x13.550_y0.047_z15.548_r-139_rgb.jpeg
x-15.912_y-3.524_z0.000_r-179_rgb.jpeg,x13.690_y0.047_z15.700_r-161_rgb.jpeg
x-16.599_y-3.589_z-0.000_r-147_rgb.jpeg,x13.908_y0.047_z16.622_r-177_rgb.jpeg
x-16.635_y-3.615_z-0.000_r-141_rgb.jpeg,x13.913_y0.047_z16.666_r-171_rgb.jpeg
x-16.679_y-3.677_z0.000_r-132_rgb.jpeg,x13.945_y0.047_z16.735_r-171_rgb.jpeg
x-16.757_y-3.819_z0.000_r-105_rgb.jpeg,x13.924_y0.047_z16.939_r-150_rgb.jpeg
x-16.769_y-3.911_z0.000_r-89_rgb.jpeg,x14.015_y0.047_z16.975_r-128_rgb.jpeg
x-16.767_y-3.942_z0.000_r-84_rgb.jpeg,x14.041_y0.047_z16.993_r-123_rgb.jpeg
x-16.773_y-4.036_z-0.000_r-72_rgb.jpeg,x14.110_y0.047_z17.056_r-111_rgb.jpeg
x-16.762_y-4.080_z-0.000_r-79_rgb.jpeg,x14.058_y0.047_z17.063_r-84_rgb.jpeg
x-16.762_y-4.203_z-0.000_r-101_rgb.jpeg,x14.230_y0.047_z17.073_r-90_rgb.jpeg
x-16.770_y-4.236_z-0.000_r-106_rgb.jpeg,x14.264_y0.047_z17.074_r-90_rgb.jpeg
x-16.853_y-4.400_z-0.000_r-126_rgb.jpeg,x14.448_y0.047_z17.099_r-115_rgb.jpeg
x-16.954_y-4.439_z-0.000_r-131_rgb.jpeg,x14.506_y0.047_z17.191_r-120_rgb.jpeg
x-17.146_y-4.636_z0.000_r-135_rgb.jpeg,x14.853_y0.047_z17.271_r-139_rgb.jpeg
x-17.221_y-4.719_z0.000_r-128_rgb.jpeg,x14.897_y0.047_z17.314_r-139_rgb.jpeg
x-17.264_y-4.781_z0.000_r-121_rgb.jpeg,x14.985_y0.047_z17.441_r-140_rgb.jpeg
x-17.339_y-5.130_z-0.000_r-69_rgb.jpeg,x15.342_y0.047_z17.621_r-96_rgb.jpeg
x-17.233_y-5.391_z-0.000_r-73_rgb.jpeg,x15.533_y0.047_z17.804_r-58_rgb.jpeg
x-17.212_y-5.472_z-0.000_r-80_rgb.jpeg,x15.692_y0.047_z17.713_r-58_rgb.jpeg
x-17.292_y-5.772_z-0.000_r-142_rgb.jpeg,x16.020_y0.047_z17.575_r-102_rgb.jpeg
x-17.347_y-5.805_z-0.000_r-158_rgb.jpeg,x16.081_y0.047_z17.595_r-102_rgb.jpeg
x-17.417_y-5.821_z-0.000_r-177_rgb.jpeg,x16.148_y0.047_z17.621_r-125_rgb.jpeg
x-17.531_y-5.806_z0.000_r153_rgb.jpeg,x16.206_y0.047_z17.613_r-166_rgb.jpeg
x-17.681_y-5.661_z0.000_r122_rgb.jpeg,x16.236_y0.047_z17.791_r131_rgb.jpeg
x-17.768_y-5.372_z-0.000_r96_rgb.jpeg,x15.917_y0.047_z18.366_r85_rgb.jpeg
x-17.770_y-5.287_z-0.000_r84_rgb.jpeg,x15.714_y0.047_z18.578_r79_rgb.jpeg
x-17.682_y-5.132_z-0.000_r47_rgb.jpeg,x15.569_y0.047_z18.307_r59_rgb.jpeg
x-17.657_y-5.107_z-0.000_r42_rgb.jpeg,x15.539_y0.047_z18.288_r54_rgb.jpeg
x-17.559_y-5.041_z-0.000_r26_rgb.jpeg,x15.420_y0.047_z18.169_r44_rgb.jpeg
x-17.482_y-5.010_z0.000_r19_rgb.jpeg,x15.366_y0.047_z18.106_r37_rgb.jpeg
x-17.317_y-4.963_z-0.000_r11_rgb.jpeg,x15.273_y0.047_z17.611_r19_rgb.jpeg
x-17.121_y-4.911_z-0.000_r26_rgb.jpeg,x15.193_y0.047_z17.425_r34_rgb.jpeg
x-17.059_y-4.869_z-0.000_r44_rgb.jpeg,x15.238_y0.047_z17.356_r20_rgb.jpeg
x-17.003_y-4.746_z0.000_r73_rgb.jpeg,x15.071_y0.047_z17.254_r38_rgb.jpeg
x-17.010_y-4.401_z0.000_r99_rgb.jpeg,x14.737_y0.047_z17.043_r83_rgb.jpeg
x-17.080_y-4.050_z0.000_r104_rgb.jpeg,x14.331_y0.047_z17.018_r92_rgb.jpeg
x-17.140_y-3.895_z-0.000_r111_rgb.jpeg,x14.117_y0.047_z17.053_r93_rgb.jpeg
x-17.267_y-3.646_z-0.000_r123_rgb.jpeg,x13.744_y0.047_z17.121_r101_rgb.jpeg
x-17.421_y-3.509_z-0.000_r132_rgb.jpeg,x13.698_y0.047_z17.156_r112_rgb.jpeg
x-17.537_y-3.372_z-0.000_r124_rgb.jpeg,x13.482_y0.047_z17.232_r124_rgb.jpeg
x-17.576_y-3.303_z-0.000_r115_rgb.jpeg,x13.368_y0.047_z17.293_r125_rgb.jpeg
x-17.604_y-3.227_z-0.000_r105_rgb.jpeg,x13.161_y0.047_z17.393_r113_rgb.jpeg
x-17.624_y-3.223_z0.000_r98_rgb.jpeg,x13.113_y0.047_z17.433_r111_rgb.jpeg
x-17.626_y-3.201_z-0.000_r91_rgb.jpeg,x13.044_y0.047_z17.452_r86_rgb.jpeg
x-17.624_y-3.182_z-0.000_r82_rgb.jpeg,x12.976_y0.047_z17.438_r86_rgb.jpeg
x-17.620_y-3.164_z-0.000_r73_rgb.jpeg,x12.958_y0.047_z17.435_r75_rgb.jpeg
x-17.613_y-3.145_z0.000_r62_rgb.jpeg,x12.385_y0.047_z17.614_r54_rgb.jpeg
x-17.535_y-3.106_z0.000_r30_rgb.jpeg,x12.205_y0.047_z17.575_r33_rgb.jpeg
x-17.529_y-3.104_z0.000_r23_rgb.jpeg,x12.158_y0.047_z17.591_r27_rgb.jpeg
x-17.517_y-3.100_z0.000_r6_rgb.jpeg,x12.905_y0.047_z17.072_r21_rgb.jpeg
x-17.505_y-3.101_z0.000_r-13_rgb.jpeg,x12.903_y0.047_z17.060_r2_rgb.jpeg
x-17.486_y-3.107_z0.000_r-20_rgb.jpeg,x12.679_y0.047_z17.407_r-31_rgb.jpeg
x-17.403_y-3.150_z-0.000_r-28_rgb.jpeg,x12.736_y0.047_z17.333_r-39_rgb.jpeg
x-17.197_y-3.253_z0.000_r-24_rgb.jpeg,x12.875_y0.047_z17.150_r-35_rgb.jpeg
x-16.943_y-3.357_z0.000_r-19_rgb.jpeg,x13.343_y0.047_z16.658_r-37_rgb.jpeg
x-16.757_y-3.422_z0.000_r-10_rgb.jpeg,x13.461_y0.047_z16.500_r-24_rgb.jpeg
x-16.724_y-3.424_z0.000_r6_rgb.jpeg,x13.470_y0.047_z16.468_r-20_rgb.jpeg
x-16.676_y-3.406_z0.000_r38_rgb.jpeg,x13.475_y0.047_z16.417_r12_rgb.jpeg
x-16.670_y-3.401_z0.000_r45_rgb.jpeg,x13.473_y0.047_z16.410_r19_rgb.jpeg
x-16.560_y-3.399_z-0.000_r70_rgb.jpeg,x13.519_y0.047_z16.309_r44_rgb.jpeg
x-16.558_y-3.393_z-0.000_r76_rgb.jpeg,x13.514_y0.047_z16.305_r52_rgb.jpeg
x-16.558_y-3.364_z-0.000_r103_rgb.jpeg,x13.487_y0.047_z16.294_r71_rgb.jpeg
x-16.484_y-3.349_z-0.000_r138_rgb.jpeg,x13.513_y0.047_z16.223_r106_rgb.jpeg
x-16.494_y-3.342_z-0.000_r149_rgb.jpeg,x13.383_y0.047_z16.477_r106_rgb.jpeg
x-16.567_y-3.321_z-0.000_r174_rgb.jpeg,x13.280_y0.047_z16.549_r131_rgb.jpeg
x-16.568_y-3.008_z0.000_r103_rgb.jpeg,x13.126_y0.047_z16.898_r126_rgb.jpeg
x-16.225_y-2.695_z-0.000_r88_rgb.jpeg,x12.631_y0.047_z16.882_r98_rgb.jpeg
x-16.218_y-2.481_z-0.000_r88_rgb.jpeg,x12.320_y0.047_z16.925_r95_rgb.jpeg
x-15.987_y-2.290_z0.000_r87_rgb.jpeg,x12.101_y0.047_z16.721_r96_rgb.jpeg
x-15.996_y-2.063_z0.000_r100_rgb.jpeg,x11.831_y0.047_z16.784_r96_rgb.jpeg
x-15.887_y-1.828_z0.000_r110_rgb.jpeg,x11.959_y0.047_z16.977_r109_rgb.jpeg
x-16.105_y-1.367_z-0.000_r111_rgb.jpeg,x11.283_y0.047_z17.323_r123_rgb.jpeg
x-16.146_y-1.191_z-0.000_r90_rgb.jpeg,x11.120_y0.047_z17.401_r116_rgb.jpeg
x-16.065_y-0.911_z0.000_r44_rgb.jpeg,x10.297_y0.047_z17.332_r77_rgb.jpeg
x-15.906_y-0.772_z0.000_r43_rgb.jpeg,x10.545_y0.047_z16.986_r47_rgb.jpeg
x-15.803_y-0.666_z0.000_r49_rgb.jpeg,x10.431_y0.047_z16.891_r47_rgb.jpeg
x-15.727_y-0.463_z0.000_r68_rgb.jpeg,x10.361_y0.047_z16.862_r52_rgb.jpeg
x-15.674_y-0.215_z0.000_r88_rgb.jpeg,x10.122_y0.047_z16.792_r74_rgb.jpeg
x-15.744_y-0.049_z-0.000_r106_rgb.jpeg,x10.444_y0.047_z16.826_r89_rgb.jpeg
x-15.814_y0.143_z-0.000_r112_rgb.jpeg,x10.049_y0.047_z16.893_r108_rgb.jpeg
x-15.973_y0.415_z-0.000_r111_rgb.jpeg,x9.767_y0.047_z17.035_r115_rgb.jpeg
x-16.055_y0.625_z0.000_r111_rgb.jpeg,x9.519_y0.047_z17.155_r114_rgb.jpeg
x-16.178_y0.795_z-0.000_r111_rgb.jpeg,x9.357_y0.047_z17.287_r112_rgb.jpeg
x-16.218_y0.916_z0.000_r105_rgb.jpeg,x9.237_y0.047_z17.330_r111_rgb.jpeg
x-16.252_y1.114_z-0.000_r94_rgb.jpeg,x8.995_y0.047_z17.396_r98_rgb.jpeg
x-16.280_y1.587_z0.000_r86_rgb.jpeg,x8.475_y0.047_z17.460_r83_rgb.jpeg
x-16.408_y2.651_z0.000_r107_rgb.jpeg,x7.805_y0.047_z17.510_r94_rgb.jpeg
x-16.499_y2.855_z-0.000_r102_rgb.jpeg,x7.478_y0.047_z17.523_r101_rgb.jpeg
x-16.554_y3.133_z-0.000_r86_rgb.jpeg,x6.850_y0.047_z17.584_r92_rgb.jpeg
x-16.504_y3.388_z-0.000_r76_rgb.jpeg,x6.542_y0.047_z17.556_r72_rgb.jpeg
x-16.465_y3.636_z0.000_r82_rgb.jpeg,x6.275_y0.047_z17.557_r66_rgb.jpeg
x-16.457_y3.743_z0.000_r89_rgb.jpeg,x6.269_y0.047_z17.550_r73_rgb.jpeg
x-16.461_y3.829_z0.000_r98_rgb.jpeg,x6.174_y0.047_z17.220_r78_rgb.jpeg
x-16.473_y3.883_z0.000_r105_rgb.jpeg,x6.076_y0.047_z17.160_r82_rgb.jpeg
x-16.537_y4.027_z0.000_r122_rgb.jpeg,x5.869_y0.047_z17.172_r94_rgb.jpeg
x-16.573_y4.048_z-0.000_r128_rgb.jpeg,x6.166_y0.047_z17.084_r107_rgb.jpeg
x-16.704_y4.220_z-0.000_r124_rgb.jpeg,x5.870_y0.047_z17.186_r129_rgb.jpeg
x-16.769_y4.331_z0.000_r116_rgb.jpeg,x5.734_y0.047_z17.223_r130_rgb.jpeg
x-16.799_y4.401_z0.000_r110_rgb.jpeg,x5.634_y0.047_z17.300_r126_rgb.jpeg
x-16.824_y4.496_z-0.000_r101_rgb.jpeg,x5.550_y0.047_z17.351_r113_rgb.jpeg
x-16.832_y4.723_z-0.000_r82_rgb.jpeg,x5.330_y0.047_z17.407_r94_rgb.jpeg
x-16.776_y4.911_z0.000_r66_rgb.jpeg,x5.134_y0.047_z17.393_r78_rgb.jpeg
x-16.710_y5.038_z0.000_r58_rgb.jpeg,x4.996_y0.047_z17.356_r62_rgb.jpeg
x-16.611_y5.170_z0.000_r48_rgb.jpeg,x4.816_y0.047_z17.238_r54_rgb.jpeg
x-16.393_y5.366_z-0.000_r48_rgb.jpeg,x4.719_y0.047_z17.131_r41_rgb.jpeg
x-16.357_y5.409_z-0.000_r53_rgb.jpeg,x4.642_y0.047_z17.123_r38_rgb.jpeg
x-16.313_y5.478_z-0.000_r62_rgb.jpeg,x4.544_y0.047_z17.090_r28_rgb.jpeg
x-16.073_y5.583_z-0.000_r-11_rgb.jpeg,x4.552_y0.047_z16.584_r-36_rgb.jpeg
x-15.795_y5.509_z0.000_r-29_rgb.jpeg,x4.801_y0.047_z16.290_r-31_rgb.jpeg
x-15.677_y5.484_z0.000_r-5_rgb.jpeg,x4.762_y0.047_z16.037_r-25_rgb.jpeg
x-15.496_y5.452_z0.000_r-25_rgb.jpeg,x4.749_y0.047_z15.868_r-9_rgb.jpeg
x-15.459_y5.432_z0.000_r-33_rgb.jpeg,x4.765_y0.047_z15.777_r-11_rgb.jpeg
x-15.402_y5.386_z-0.000_r-44_rgb.jpeg,x4.708_y0.047_z15.836_r-29_rgb.jpeg
x-15.269_y5.234_z0.000_r-52_rgb.jpeg,x4.849_y0.047_z15.627_r-46_rgb.jpeg
x-15.141_y5.075_z-0.000_r-48_rgb.jpeg,x4.907_y0.047_z15.631_r-62_rgb.jpeg
x-14.985_y4.931_z0.000_r-46_rgb.jpeg,x5.112_y0.047_z15.555_r-55_rgb.jpeg
x-14.791_y4.751_z0.000_r-36_rgb.jpeg,x5.425_y0.047_z15.363_r-52_rgb.jpeg
x-14.587_y4.666_z0.000_r-27_rgb.jpeg,x5.561_y0.047_z15.189_r-43_rgb.jpeg
x-14.416_y4.567_z0.000_r-35_rgb.jpeg,x5.703_y0.047_z15.051_r-36_rgb.jpeg
x-14.330_y4.500_z0.000_r-41_rgb.jpeg,x5.770_y0.047_z14.966_r-42_rgb.jpeg
x-14.283_y4.455_z0.000_r-47_rgb.jpeg,x5.773_y0.047_z14.872_r-50_rgb.jpeg
x-14.083_y4.082_z0.000_r-39_rgb.jpeg,x6.302_y0.047_z14.885_r-72_rgb.jpeg
x-14.111_y3.992_z0.000_r-32_rgb.jpeg,x6.363_y0.047_z14.957_r-61_rgb.jpeg
x-14.034_y3.952_z0.000_r-23_rgb.jpeg,x6.463_y0.047_z14.736_r-41_rgb.jpeg
x-13.967_y3.929_z0.000_r-14_rgb.jpeg,x6.505_y0.047_z14.679_r-32_rgb.jpeg
x-13.815_y3.916_z0.000_r4_rgb.jpeg,x6.575_y0.047_z14.490_r-24_rgb.jpeg
